popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
47,276000,FALSE,0.559,0.979,6,-2.968,1,0.0523,0.0287,0.763,0.105,0.458,95.018,4,club
56,264493,FALSE,0.513,0.662,8,-6.058,1,0.0293,0.195,0,0.101,0.261,134.128,4,club
52,141600,FALSE,0.807,0.794,7,-4.902,0,0.112,0.142,0.862,0.0993,0.295,99.979,4,club
58,211800,FALSE,0.62,0.698,6,-4.38,1,0.0449,0.0168,0,0.153,0.617,90.059,4,club
57,97605,TRUE,0.657,0.904,5,-3.469,1,0.289,0.18,0,0.251,0.669,167.936,4,club
47,198906,FALSE,0.421,0.813,10,-5.427,1,0.0424,0.0535,0,0.283,0.635,169.895,4,club
37,239669,FALSE,0.621,0.273,0,-8.607,1,0.0325,0.811,1.00E-05,0.0841,0.146,127.044,4,club
41,144837,FALSE,0.543,0.63,5,-8.236,0,0.319,0.674,5.96E-06,0.293,0.565,203.688,4,club
43,235200,FALSE,0.628,0.498,6,-12.803,1,0.0522,0.241,0.027,0.0579,0.138,99.978,4,club
39,110210,TRUE,0.904,0.871,8,-8.588,1,0.403,0.00645,5.21E-06,0.0697,0.346,144.993,4,club
29,144091,FALSE,0.932,0.58,1,-11.198,1,0.0633,0.156,0.696,0.143,0.373,139.995,4,club
50,204705,FALSE,0.587,0.902,8,-2.506,1,0.049,0.0336,0.000112,0.1,0.0878,102.029,4,club
49,326869,FALSE,0.576,0.935,7,-6.092,1,0.0623,0.000908,0.869,0.623,0.169,104.964,4,club
19,242134,FALSE,0.691,0.782,8,-5.365,1,0.0561,0.0211,1.88E-05,0.406,0.741,139.946,4,club
25,208000,FALSE,0.779,0.629,6,-4.832,1,0.527,0.0944,0.34,0.113,0.285,90.014,4,club
51,343878,FALSE,0.597,0.84,7,-6.964,1,0.0377,7.65E-05,0.828,0.55,0.201,108.993,4,club
44,245529,FALSE,0.49,0.741,5,-6.601,0,0.0561,0.000887,0.189,0.0787,0.0793,105.057,4,club
51,247603,FALSE,0.682,0.934,7,-4.822,1,0.0741,0.0619,0.926,0.106,0.0708,108.982,3,club
58,77583,FALSE,0.714,0.389,1,-6.689,1,0.0385,0.00179,0.56,0.178,0.702,92.526,4,club
40,165333,FALSE,0.645,0.878,2,-4.358,1,0.0369,0.0614,0.856,0.234,0.21,90.037,4,club
43,151111,TRUE,0.605,0.768,2,-4.939,1,0.0325,0.155,0,0.0846,0.0736,108.07,4,club
40,227139,FALSE,0.575,0.856,0,-4.804,1,0.121,0.00591,0.731,0.169,0.0736,108.969,4,club
49,249454,FALSE,0.501,0.903,4,-3.894,0,0.0433,0.000363,0.692,0.106,0.0662,165.082,4,club
37,144106,FALSE,0.572,0.862,5,-4.513,0,0.0329,3.40E-06,0.877,0.0829,0.484,149.998,4,club
50,240039,FALSE,0.347,0.478,8,-10.341,1,0.0406,0.0401,0.748,0.111,0.031,199.964,4,club
53,206400,FALSE,0.327,0.853,2,-3.68,1,0.0568,0.00175,0.235,0.208,0.143,99.919,4,club
43,247358,FALSE,0.543,0.981,1,-2.699,0,0.0468,0.00488,0.755,0.0917,0.111,106.001,4,club
46,123966,FALSE,0.69,0.809,8,-4.931,1,0.0375,0.4,0.285,0.118,0.0481,120.946,4,club
32,204000,FALSE,0.702,0.821,5,-4.299,0,0.0495,0.051,0.118,0.151,0.199,110.015,4,club
51,202597,FALSE,0.593,0.632,6,-6.45,0,0.0305,0.195,0,0.114,0.225,77.025,4,club
49,242330,FALSE,0.485,0.808,1,-5.324,1,0.0563,0.0309,0.00958,0.143,0.295,103.007,4,club
48,211071,FALSE,0.698,0.743,9,-7.804,1,0.11,0.284,0.0172,0.411,0.0442,111.993,4,club
52,142382,TRUE,0.708,0.977,1,-4.018,1,0.0676,0.038,0.668,0.218,0.671,128.023,4,club
51,138057,TRUE,0.662,0.717,4,-5.211,1,0.274,0.628,6.66E-06,0.427,0.689,169.853,4,club
55,181906,FALSE,0.61,0.53,6,-7.132,0,0.0253,0.247,0,0.35,0.305,110.778,3,club
57,221773,FALSE,0.717,0.382,4,-7.782,1,0.036,0.83,0,0.0986,0.358,130.843,4,club
48,151200,FALSE,0.699,0.894,10,-2.648,1,0.0321,0.0222,0.117,0.0667,0.33,99.994,4,club
41,258678,FALSE,0.543,0.869,2,-4.266,0,0.031,0.000132,0.715,0.226,0.0512,106.03,4,club
51,272855,FALSE,0.577,0.555,2,-9.045,1,0.0598,0.618,0.866,0.116,0.147,189.97,3,club
48,214216,FALSE,0.704,0.884,9,-4.273,1,0.0486,0.000428,0.204,0.15,0.452,105.02,4,club
44,285271,FALSE,0.416,0.741,8,-6.807,0,0.0481,0.0823,0.00146,0.338,0.299,91.954,4,club
50,276000,FALSE,0.522,0.886,10,-6.484,0,0.058,9.49E-05,0.697,0.063,0.158,99.992,4,club
41,145432,TRUE,0.702,0.401,1,-13.281,1,0.11,0.341,0,0.176,0.0879,120.109,4,club
49,179946,FALSE,0.687,0.756,9,-3.601,0,0.0596,0.00335,0,0.0663,0.623,130.043,4,club
49,175272,FALSE,0.602,0.916,7,-6.566,1,0.251,0.000197,0.842,0.143,0.464,100.037,4,club
30,125779,FALSE,0.908,0.865,6,-5.992,0,0.245,0.196,0.000156,0.174,0.664,139.89,4,club
53,232806,FALSE,0.776,0.717,2,-4.897,1,0.0836,0.115,0.00755,0.327,0.828,139.995,4,club
55,214680,FALSE,0.756,0.814,0,-6.111,1,0.0436,0.634,0.00068,0.161,0.905,135.045,4,club
3,236000,FALSE,0.597,0.928,5,-6.102,1,0.0497,0.0543,0.911,0.096,0.0308,128,4,club
30,259178,FALSE,0.75,0.828,6,-7.185,0,0.372,0.197,8.80E-05,0.253,0.301,170.025,4,club
30,181557,FALSE,0.734,0.777,11,-6.194,0,0.0412,0.144,4.05E-06,0.304,0.371,113.032,4,club
32,201450,FALSE,0.868,0.668,7,-6.064,0,0.244,0.323,0,0.123,0.818,119.975,4,club
28,108968,FALSE,0.743,0.927,7,-3.876,1,0.247,0.526,1.60E-05,0.204,0.478,133.983,4,club
31,175893,FALSE,0.681,0.989,9,-2.722,1,0.128,0.0172,0.00806,0.811,0.455,129.992,4,club
57,227400,FALSE,0.577,0.96,9,-3.811,1,0.0636,0.0193,9.56E-06,0.0498,0.701,173.988,4,club
50,179946,FALSE,0.687,0.756,9,-3.601,0,0.0596,0.00335,0,0.0663,0.623,130.043,4,club
30,133617,FALSE,0.464,0.31,9,-11.257,1,0.0279,0.913,0.000568,0.12,0.347,77.416,4,club
31,286617,FALSE,0.783,0.764,1,-7.754,1,0.132,0.265,0.000125,0.124,0.439,130.972,4,club
43,98066,FALSE,0.658,0.373,1,-12.473,1,0.0399,0.197,0.89,0.131,0.0372,107.995,4,club
42,271733,FALSE,0.652,0.426,9,-12.596,0,0.0309,0.00453,0.033,0.0592,0.139,117.985,4,club
16,101093,FALSE,0.872,0.599,1,-9.701,1,0.405,0.0351,0.000413,0.34,0.631,152.086,4,club
36,100463,TRUE,0.839,0.584,5,-10.214,0,0.072,0.238,0.0249,0.112,0.766,152.951,4,club
54,184761,FALSE,0.824,0.755,1,-5.272,1,0.0649,0.0141,0.0021,0.0944,0.412,125.963,4,club
45,249373,FALSE,0.7,0.712,8,-4.553,1,0.0397,0.00062,0.0404,0.374,0.0883,100.968,4,club
46,216720,FALSE,0.801,0.551,10,-11.19,0,0.208,0.189,0.67,0.315,0.19,102.014,4,club
44,182399,FALSE,0.404,0.903,1,-3.026,1,0.0878,0.00972,0.514,0.0613,0.0954,100.061,4,club
47,290979,FALSE,0.506,0.717,9,-6.482,0,0.0446,0.00201,0.689,0.146,0.0726,112.991,4,club
41,187527,FALSE,0.662,0.809,3,-6.583,1,0.0351,0.0306,0.875,0.115,0.114,112.009,4,club
43,196363,FALSE,0.752,0.867,2,-5.55,1,0.0442,0.111,0.848,0.148,0.169,132.009,4,club
43,199578,FALSE,0.632,0.92,7,-4.659,1,0.0729,0.00331,0.865,0.12,0.15,94.991,4,club
57,227401,FALSE,0.798,0.873,10,-6.732,0,0.0908,0.064,5.17E-05,0.764,0.846,98.017,4,club
43,268536,FALSE,0.645,0.784,6,-7.94,1,0.0362,0.00807,0.688,0.333,0.51,106.006,4,club
60,151531,FALSE,0.581,0.844,5,-6.64,0,0.0595,0.0855,0,0.224,0.546,93.963,4,club
42,199275,FALSE,0.705,0.909,6,-2.77,0,0.0348,0.0147,0.839,0.155,0.21,99.98,4,club
48,194927,FALSE,0.651,0.384,1,-8.27,1,0.0291,0.00404,0.869,0.0526,0.0308,113.011,4,club
42,102187,TRUE,0.768,0.805,6,-8.536,0,0.23,0.0217,0.000264,0.181,0.253,136.06,4,club
45,297600,FALSE,0.497,0.853,8,-3.157,1,0.0434,0.0346,0.00141,0.0968,0.0526,99.958,4,club
37,230400,FALSE,0.481,0.912,0,-1.493,1,0.0414,0.0705,0,0.154,0.11,149.951,4,club
39,205006,FALSE,0.642,0.658,10,-3.443,1,0.0778,0.00409,0.00632,0.12,0.199,180.03,4,club
52,117200,FALSE,0.37,0.983,2,-4.776,1,0.186,1.10E-05,0.75,0.122,0.182,170.054,4,club
58,163348,FALSE,0.619,0.712,4,-6.893,0,0.0328,0.103,0,0.24,0.35,95.025,4,club
49,143076,FALSE,0.787,0.629,4,-5.782,0,0.0748,0.0122,0.425,0.121,0.46,104.033,4,club
49,331622,FALSE,0.481,0.645,2,-7.74,1,0.0404,2.50E-05,0.842,0.346,0.0833,170.027,4,club
47,191988,FALSE,0.574,0.902,1,-4.046,1,0.0716,0.000844,0.8,0.35,0.174,200.06,4,club
43,167368,FALSE,0.752,0.895,9,-3.293,1,0.0374,0.00079,0.186,0.0773,0.0373,114.016,4,club
57,75969,FALSE,0.337,0.28,0,-18.646,0,0.0384,0.987,0.882,0.0851,0.0824,140.004,4,club
42,168000,FALSE,0.762,0.932,1,-5.285,1,0.0516,0.354,0.432,0.496,0.757,129.99,4,club
51,204000,FALSE,0.648,0.86,11,-5.7,1,0.0552,0.112,0.764,0.128,0.0763,100.01,4,club
47,236937,FALSE,0.636,0.441,1,-7.273,1,0.247,0.0528,0.00152,0.0684,0.304,114.045,4,club
51,230625,FALSE,0.751,0.964,2,-3.039,1,0.0478,0.266,0.62,0.0682,0.417,127.991,4,club
52,64547,FALSE,0.739,0.931,1,-6.941,1,0.04,0.00152,0.891,0.335,0.727,111.001,4,club
53,254413,FALSE,0.506,0.481,2,-6.098,1,0.0264,0.482,0,0.2,0.224,148.626,4,club
46,220373,FALSE,0.76,0.543,3,-5.759,1,0.0415,0.494,0,0.0802,0.84,120.003,4,club
42,194666,FALSE,0.597,0.765,7,-5.831,0,0.223,0.425,0,0.111,0.391,126.857,4,club
50,225133,FALSE,0.637,0.768,5,-6.888,1,0.0318,0.0335,7.77E-06,0.161,0.459,144.914,4,club
29,216237,TRUE,0.832,0.676,1,-5.834,1,0.11,0.0212,0.000203,0.0888,0.371,127.998,4,club
4,227692,FALSE,0.3,0.623,2,-7.534,0,0.0313,0.000952,0.945,0.0908,0.0346,156.038,4,club
3,240000,FALSE,0.526,0.666,7,-8.743,0,0.0348,0.184,0.128,0.112,0.106,120.041,3,club
59,213413,FALSE,0.651,0.889,5,-5.236,1,0.0694,0.00308,0,0.417,0.813,107.009,4,club
48,221026,FALSE,0.618,0.752,0,-4.828,1,0.0302,0.00863,0.000175,0.127,0.679,115.957,4,club
28,214197,FALSE,0.585,0.715,7,-6.841,0,0.305,0.332,0.000108,0.0864,0.646,121.305,5,club
28,236320,FALSE,0.847,0.772,9,-4.763,0,0.0692,0.196,0,0.24,0.914,127.381,4,club
28,217257,FALSE,0.636,0.787,0,-5.46,0,0.0611,0.279,0,0.0971,0.542,140.007,4,club
26,179920,FALSE,0.736,0.571,4,-3.942,1,0.0457,0.451,0.000618,0.223,0.554,107.781,4,club
28,169266,FALSE,0.548,0.839,5,-4.66,1,0.0368,0.0364,0,0.201,0.827,113.468,4,club
57,162413,FALSE,0.485,0.262,7,-13.286,1,0.0263,0.978,5.99E-05,0.117,0.332,98.536,4,club
26,211093,FALSE,0.286,0.623,0,-5.013,1,0.042,0.693,1.50E-05,0.306,0.109,96.649,4,club
27,256079,FALSE,0.359,0.601,2,-5.525,1,0.0335,0.233,0,0.127,0.263,161.618,3,club
50,251217,FALSE,0.514,0.615,5,-6.44,0,0.0326,0.011,0.06,0.222,0.133,140.039,4,club
39,152727,TRUE,0.551,0.765,1,-7.661,0,0.358,0.0117,0.0016,0.224,0.537,131.712,4,club
49,233314,FALSE,0.649,0.55,11,-8.591,0,0.152,0.574,0.0188,0.124,0.575,103.965,4,club
13,242134,TRUE,0.691,0.782,8,-5.365,1,0.0561,0.0211,1.88E-05,0.406,0.741,139.946,4,club
50,147355,TRUE,0.544,0.507,1,-7.755,1,0.0481,0.019,0.0164,0.185,0.206,153.079,4,club
42,191111,FALSE,0.802,0.952,2,-3.298,1,0.0947,0.0941,0.00472,0.126,0.27,107.977,3,club
30,224400,FALSE,0.583,0.974,0,-2.588,1,0.0669,0.00304,0.638,0.351,0.0393,100.014,4,club
37,133333,FALSE,0.622,0.743,10,-5.096,1,0.0471,0.0976,0.0551,0.0387,0.598,143.981,4,club
37,229380,FALSE,0.498,0.796,9,-2.1,0,0.0436,0.0499,0,0.109,0.278,112.853,4,club
44,271081,FALSE,0.752,0.892,0,-6.296,1,0.0354,0.108,0.9,0.147,0.506,115.008,4,club
39,174545,FALSE,0.547,0.855,10,-4.688,0,0.248,0.0505,0.308,0.236,0.202,110.023,4,club
40,208264,FALSE,0.764,0.595,1,-9.233,0,0.0441,0.0224,0.00178,0.109,0.371,121.018,4,club
45,223163,FALSE,0.713,0.898,11,-4.402,0,0.0358,0.00122,0.595,0.113,0.0736,114.025,4,club
52,116756,TRUE,0.844,0.788,11,-7.043,1,0.136,0.0905,0.000656,0.0839,0.536,110.988,4,club
50,235200,FALSE,0.541,0.918,2,-7.232,1,0.0456,0.0089,0.733,0.0941,0.166,100.012,4,club
44,288786,FALSE,0.699,0.824,2,-5.176,1,0.0664,0.00741,0.939,0.198,0.0895,102.987,4,club
36,173333,FALSE,0.518,0.936,11,-4.389,1,0.0408,0.000893,0.934,0.0594,0.0532,108.02,4,club
48,265090,FALSE,0.604,0.78,2,-6.216,1,0.0711,0.000764,2.62E-05,0.141,0.0565,110.013,4,club
37,173114,FALSE,0.702,0.741,5,-6.332,0,0.0296,0.0237,0.678,0.104,0.271,122.006,4,club
44,194437,FALSE,0.823,0.381,1,-7.372,1,0.0889,0.000497,0.000542,0.14,0.46,107.996,4,club
40,235354,FALSE,0.473,0.938,10,-2.307,1,0.068,0.0171,0.000332,0.151,0.267,155.019,4,club
49,257490,FALSE,0.638,0.637,2,-10.727,1,0.0332,0.0429,0.752,0.11,0.0664,95.989,4,club
47,262736,FALSE,0.613,0.988,11,-5.498,1,0.113,5.13E-05,0.835,0.427,0.0393,95.027,4,club
35,359960,FALSE,0.692,0.608,2,-9.763,1,0.0379,0.0472,0.862,0.0807,0.216,113.001,4,club
49,345000,FALSE,0.489,0.895,1,-4.471,1,0.0793,0.00103,0,0.0905,0.348,92.038,4,club
44,210019,FALSE,0.607,0.56,11,-8.493,0,0.0434,0.0239,0.812,0.141,0.0372,96.005,4,club
43,91437,FALSE,0.733,0.483,0,-4.836,0,0.048,0.0121,0.0166,0.386,0.155,105.023,4,club
49,126352,FALSE,0.4,0.774,11,-8.539,1,0.0341,0.0401,0.932,0.11,0.204,170.111,4,club
27,312117,FALSE,0.737,0.617,2,-6.864,1,0.0484,0.11,0.000643,0.128,0.85,117.988,4,club
49,238709,FALSE,0.599,0.856,7,-7.964,1,0.0387,0.175,0.868,0.114,0.663,93.007,4,club
42,218259,FALSE,0.597,0.92,11,-4.524,1,0.0553,0.000247,0.844,0.109,0.135,101.975,4,club
56,138630,FALSE,0.748,0.864,1,-7.535,1,0.0705,0.134,0,0.252,0.793,98.035,4,club
52,84000,FALSE,0.929,0.889,1,-2.647,1,0.204,0.221,0.281,0.0934,0.868,140.04,4,club
26,224246,FALSE,0.384,0.508,1,-9.587,1,0.0483,0.127,0.000199,0.234,0.227,124.82,4,club
53,227853,FALSE,0.471,0.549,2,-5.696,1,0.0315,0.331,0,0.0729,0.141,83.681,4,club
44,226853,FALSE,0.791,0.878,0,-4.402,1,0.0489,0.356,0,0.133,0.839,103.993,4,club
48,212653,FALSE,0.619,0.84,1,-5.167,1,0.0382,0.0334,0,0.183,0.44,139.043,4,club
46,246186,FALSE,0.833,0.467,8,-7.693,1,0.0355,0.554,1.14E-05,0.135,0.814,128.918,4,club
54,207946,FALSE,0.64,0.896,6,-3.221,0,0.079,0.275,0,0.147,0.751,123.071,4,club
50,249773,FALSE,0.378,0.554,7,-6.086,1,0.0497,0.0504,0,0.199,0.523,91.977,4,club
46,242440,FALSE,0.469,0.649,4,-7.056,0,0.0419,0.44,0,0.102,0.425,129.043,3,club
51,242186,FALSE,0.653,0.811,11,-5.433,1,0.0319,0.000612,2.86E-05,0.135,0.659,128.023,4,club
24,129976,FALSE,0.933,0.37,6,-12.258,1,0.321,0.098,0.353,0.164,0.329,134.998,4,club
53,199000,FALSE,0.701,0.864,3,-4.351,1,0.0631,0.00331,0,0.0421,0.811,106.032,4,club
53,251280,FALSE,0.579,0.833,2,-5.371,1,0.0276,0.0103,2.24E-05,0.105,0.343,129.009,4,club
25,185637,FALSE,0.509,0.2,4,-12.151,1,0.0373,0.939,0.00367,0.0909,0.199,99.93,3,club
25,246229,FALSE,0.796,0.786,9,-3.978,1,0.299,0.22,0,0.07,0.615,130.007,4,club
26,224397,FALSE,0.601,0.73,5,-6.947,1,0.0584,0.168,8.27E-06,0.151,0.312,112.034,4,club
25,196933,FALSE,0.589,0.87,7,-4.79,1,0.0321,0.0557,3.00E-06,0.205,0.577,120.99,4,club
25,294933,FALSE,0.326,0.263,3,-9.668,1,0.0375,0.599,2.30E-06,0.221,0.229,111.109,3,club
48,245472,FALSE,0.731,0.94,2,-6.634,0,0.0501,0.472,0.674,0.0987,0.672,162.017,4,club
40,188413,FALSE,0.501,0.963,7,-5.459,1,0.0973,0.000648,0.284,0.0993,0.0751,181.955,3,club
57,85394,FALSE,0.651,0.582,11,-7.105,0,0.236,0.000909,0.0843,0.868,0.351,90.059,4,club
39,222222,FALSE,0.613,0.995,6,-4.959,0,0.0466,0.216,0.77,0.21,0.293,107.971,4,club
32,176000,FALSE,0.692,0.788,2,-2.718,1,0.0397,0.0788,0.685,0.364,0.364,105.006,4,club
49,165789,FALSE,0.548,0.322,3,-13.198,0,0.0266,0.8,0.301,0.0867,0.374,105.947,4,club
37,258782,FALSE,0.512,0.826,8,-5.202,1,0.0351,0.00401,0.00264,0.184,0.0373,115.178,4,club
30,188481,TRUE,0.622,0.996,6,-3.122,1,0.101,0.0379,0.779,0.115,0.211,106.998,4,club
46,292173,FALSE,0.525,0.801,2,-5.294,0,0.0516,0.0155,0.0645,0.132,0.111,183.961,4,club
48,254867,FALSE,0.709,0.928,9,-3.15,1,0.0655,0.000543,0.882,0.159,0.171,113.003,4,club
38,192035,FALSE,0.452,0.568,7,-4.952,0,0.127,0.0319,0.000305,0.121,0.318,101.043,4,club
47,188095,FALSE,0.835,0.789,2,-6.857,1,0.18,0.0452,0.45,0.132,0.458,125.949,4,club
43,208941,FALSE,0.488,0.674,9,-6.344,0,0.0729,0.0129,0.00785,0.125,0.37,170.046,4,club
41,169600,TRUE,0.647,0.988,1,-5.222,1,0.0975,0.0279,0.511,0.266,0.204,150.016,4,club
31,197333,FALSE,0.534,0.848,8,-5.428,1,0.0559,0.0138,0.000318,0.209,0.196,180.042,4,club
42,219600,FALSE,0.697,0.851,7,-4.915,1,0.123,0.00282,0.74,0.168,0.299,99.972,4,club
46,266213,FALSE,0.778,0.64,2,-7.051,1,0.088,0.0381,0.435,0.0946,0.487,110.009,4,club
44,230624,FALSE,0.579,0.232,8,-18.228,1,0.0434,0.395,0.0553,0.344,0.2,127.151,4,club
43,186666,FALSE,0.669,0.927,1,-6.919,1,0.0464,0.039,0.901,0.331,0.547,126.012,4,club
22,258698,FALSE,0.757,0.584,11,-6.238,0,0.0431,0.11,0.00043,0.353,0.255,119.94,4,club
47,275044,FALSE,0.256,0.969,2,-5.209,1,0.177,4.39E-05,0.000761,0.135,0.127,144.494,4,club
43,240000,FALSE,0.491,0.777,5,-7.002,1,0.0533,0.00327,0.0411,0.129,0.255,89.954,4,club
52,199000,FALSE,0.689,0.605,4,-7.42,0,0.0737,0.0799,0.0685,0.191,0.162,96.991,4,club
47,279420,FALSE,0.641,0.645,1,-7.996,1,0.0479,0.0418,0.0404,0.147,0.342,109.994,4,club
45,240069,FALSE,0.629,0.745,8,-9.437,1,0.0318,0.847,0.0655,0.139,0.459,89.979,4,club
43,189152,FALSE,0.68,0.833,1,-3.272,1,0.0283,0.00195,0.106,0.113,0.0541,117.979,4,club
48,210461,FALSE,0.508,0.934,10,-9.577,0,0.0504,9.31E-05,0.959,0.124,0.698,130.012,4,club
43,268800,FALSE,0.447,0.921,8,-5.879,0,0.101,0.000735,0.000237,0.183,0.148,149.844,4,club
40,184285,FALSE,0.782,0.788,0,-7.23,1,0.0349,0.00785,0.432,0.173,0.137,111.981,4,club
39,171840,FALSE,0.836,0.735,6,-3.25,0,0.143,0.00952,1.36E-05,0.122,0.45,125.094,4,club
43,171093,FALSE,0.706,0.667,8,-5.243,1,0.0517,0.0125,1.09E-06,0.531,0.539,98.97,4,club
47,111250,FALSE,0.614,0.942,7,-1.744,1,0.0541,7.55E-06,0.92,0.0978,0.345,122.992,4,club
43,222963,FALSE,0.701,0.683,1,-5.055,0,0.0363,0.15,0.000698,0.39,0.138,122.941,4,club
23,113920,FALSE,0.913,0.778,2,-5.772,1,0.115,0.00649,0.0101,0.0432,0.562,144.999,4,club
51,166133,FALSE,0.477,0.532,8,-7.744,1,0.0274,0.731,0.0114,0.0973,0.403,105.239,4,club
24,214762,FALSE,0.537,0.786,2,-5.955,1,0.132,0.456,0.000484,0.106,0.356,109.962,4,club
23,258466,FALSE,0.521,0.67,2,-10.742,1,0.0327,0.258,0.659,0.0744,0.872,148.417,4,club
23,112274,TRUE,0.857,0.437,2,-10.76,1,0.859,0.00198,0.135,0.0912,0.0734,145.63,4,club
24,158000,FALSE,0.597,0.905,6,-5.288,1,0.149,0.0344,6.57E-05,0.108,0.513,134.725,4,club
24,242197,FALSE,0.88,0.836,0,-5.193,0,0.0736,0.231,1.21E-06,0.526,0.596,130.025,4,club
22,140800,FALSE,0.868,0.651,1,-5.344,0,0.375,0.177,0.00076,0.137,0.545,150.002,4,club
54,208573,FALSE,0.563,0.913,9,-4.384,0,0.225,0.00773,0,0.127,0.311,128.083,4,club
